1,46.0
1.1,49.95
1.2,53.8
1.3,57.55
1.4,61.2
1.5,64.75
1.6,68.2
1.7,71.55
1.7999999999999998,74.79999999999998
1.9,77.95
2.0,81.0
2.0999999999999996,83.94999999999999
2.2,86.80000000000001
2.3,89.54999999999998
2.4000000000000004,92.2
2.5,94.75
2.6000000000000005,97.20000000000002
2.7,99.55
2.8000000000000007,101.80000000000001
2.9000000000000004,103.95000000000002
3.0000000000000004,106.00000000000003
3.1000000000000005,107.95000000000002
3.2000000000000006,109.80000000000001
3.3000000000000007,111.55000000000001
3.400000000000001,113.2
3.500000000000001,114.75000000000003
3.600000000000001,116.20000000000003
3.700000000000001,117.55000000000001
3.800000000000001,118.80000000000001
3.9000000000000012,119.95
4.000000000000002,121.00000000000001
4.100000000000001,121.94999999999999
4.200000000000001,122.80000000000001
4.300000000000002,123.55000000000003
4.400000000000002,124.20000000000003
4.500000000000002,124.75000000000001
4.600000000000001,125.19999999999999
4.700000000000002,125.55
4.8000000000000025,125.8
4.900000000000002,125.95000000000002
5.000000000000002,126.0
5.100000000000001,125.94999999999999
5.200000000000001,125.80000000000001
5.300000000000001,125.55000000000001
5.4,125.19999999999999
5.5,124.75
5.6,124.20000000000002
5.699999999999999,123.54999999999995
5.799999999999999,122.80000000000001
5.899999999999999,121.95000000000005
5.999999999999998,121.0
6.099999999999998,119.95000000000002
6.1999999999999975,118.80000000000004
6.299999999999997,117.55000000000007
6.399999999999997,116.20000000000005
6.4999999999999964,114.75000000000009
6.599999999999996,113.2000000000001
6.699999999999996,111.55000000000007
6.799999999999995,109.80000000000007
6.899999999999995,107.95000000000013
6.999999999999995,106.00000000000006
7.099999999999994,103.95000000000013
7.199999999999994,101.80000000000018
7.299999999999994,99.55000000000013
7.399999999999993,97.20000000000016
7.499999999999993,94.75000000000017
7.5999999999999925,92.20000000000016
7.699999999999992,89.55000000000024
7.799999999999992,86.80000000000024
7.8999999999999915,83.95000000000022
7.999999999999991,81.00000000000023
8.09999999999999,77.95000000000027
8.19999999999999,74.80000000000035
8.29999999999999,71.55000000000035
8.39999999999999,68.20000000000033
8.49999999999999,64.7500000000004
8.599999999999989,61.20000000000039
8.699999999999989,57.55000000000041
8.799999999999988,53.80000000000041
8.899999999999988,49.95000000000044
8.999999999999988,46.00000000000051
9.099999999999987,41.95000000000056
9.199999999999987,37.80000000000052
9.299999999999986,33.55000000000052
9.399999999999986,29.200000000000614
9.499999999999986,24.750000000000682
9.599999999999985,20.200000000000614
9.699999999999985,15.55000000000075
9.799999999999985,10.800000000000807
9.899999999999984,5.950000000000728
9.999999999999984,1.0000000000008527
10.099999999999984,-4.049999999999102
10.199999999999983,-9.199999999999193
10.299999999999983,-14.449999999999136
10.399999999999983,-19.79999999999916
10.499999999999982,-25.24999999999909
10.599999999999982,-30.799999999999045
10.699999999999982,-36.44999999999891
10.799999999999981,-42.19999999999891
10.89999999999998,-48.04999999999882
